,qus,ans
1464,What genre is Wendy?,rock music
1465,What genre is Irwin Goodman?,rock music
1466,What genre is Yellow?,J-pop
1467,What genre is Union?,progressive rock
1468,What genre is Hara?,public art
1469,What genre is Nightdreamers?,novella
1470,What genre is You Again?,country music
1471,What genre is Gavin Hamilton?,history painting
1472,What genre is A Trick of the Tail?,progressive rock
1473,What genre is The Song of the Suburbs?,musical film
1474,What genre is Don?,action film
1475,What genre is Grease?,musical film
1476,What genre is Halloween?,heavy metal
1477,What genre is Exposed?,pop music
1478,What genre is Shaping Up?,sitcom
1479,What genre is Underground?,documentary film
1480,What genre is The Italian Job?,racing video game
1481,What genre is Mario franchise?,role-playing video game
1482,What genre is Crystal Shawanda?,country music
1483,What genre is Red?,Cantopop
1484,What genre is Josephine Foster?,traditional music
1485,What genre is Mission?,progressive rock
1486,What genre is The Club?,reality television
1487,What genre is The Tour?,rhythm and blues
1488,What genre is Winter: Five Windows on the Season?,non-fiction
1489,What genre is Ugonna Okegwo?,jazz
1490,What genre is Marble?,pop music
1491,What genre is Eddie & the Gang with No Name?,young adult literature
1492,What genre is The Ball?,first-person shooter
1493,What genre is Nely?,reggaeton
1494,What genre is Tsjuder?,black metal
1495,What genre is Good?,alternative rock
1496,What genre is Garbage?,alternative rock
1497,What genre is Moist?,alternative rock
1498,What genre is Cabaret Voltaire?,industrial music
1499,What genre is Koko ni Iruzee!?,J-pop
1500,What genre is love for?,J-pop
1501,What genre is DOS MZ executable?,executable
1502,What genre is The Web?,anthology series
1503,What genre is Modà?,pop music
1504,What genre is Secret of Mana?,role-playing video game
1505,What genre is War?,rock music
1506,What genre is Great Expectations?,film adaptation
1507,What genre is Results?,romantic comedy
1508,What genre is Edgar Battle?,jazz
1509,What genre is MUD1?,MUD
1510,What genre is Waves?,jazz
1511,What genre is Cut?,mandopop
1512,What genre is Dinosaur?,adventure film
1513,What genre is Spring Is Here?,musical film
1514,What genre is Stories?,J-pop
1515,What genre is MASH?,war film
1516,What genre is Need to Believe?,hard rock
1517,What genre is The Congress?,science fiction film
1518,What genre is Money?,rhythm and blues
1519,What genre is BT?,electronica
1520,What genre is The Ethos Effect?,science fiction
1521,What genre is Spring?,science fiction film
1522,What genre is YB?,rock music
1523,What genre is Most of Me?,non-fiction
1524,What genre is I Lost My Heart in Heidelberg?,musical film
1525,What genre is She?,hard rock
1526,What genre is The Rebound?,romantic comedy
1527,What genre is VS?,J-pop
1528,What genre is Anyone Else?,country music
1529,What genre is The Loved Ones?,horror film
1530,What genre is Seven Veils?,ambient music
1531,What genre is The Bad One?,musical film
1532,What genre is New Favorite?,bluegrass music
1533,What genre is Pulse?,music video game
1534,What genre is Isis?,post-metal
1535,What genre is Confession?,alternative metal
1536,What genre is Ace Frehley?,hard rock
1537,What genre is Bird?,biographical film
1538,What genre is The Statement?,film adaptation
1539,What genre is Positive?,documentary film
1540,What genre is Piknik?,rock music
1541,What genre is The Carpenter?,symphonic metal
1542,What genre is Della Reese?,jazz
1543,What genre is Bridge?,J-pop
1544,What genre is Sly?,heavy metal
1545,What genre is One Water?,documentary film
1546,What genre is Edward Lamson Henry?,genre painting
1547,What genre is York?,downtempo
1548,What genre is Eve?,rock music
1549,What genre is Open Water?,psychological horror
1550,What genre is Ceremony?,punk rock
1551,What genre is Hello?,pop music
1552,What genre is All Superheroes Must Die?,superhero film
1553,What genre is Nine?,traditional music
1554,What genre is Wave?,jazz fusion
1555,What genre is Solo?,action film
1556,What genre is Quake II?,first-person shooter
1557,What genre is How to Survive a Robot Uprising?,science fiction
1558,What genre is The Singles?,alternative rock
1559,What genre is Pre?,noise rock
1560,What genre is Deivos?,death metal
1561,What genre is Foster?,comedy-drama
1562,What genre is Mark Castillo?,metalcore
1563,What genre is Trees?,folk rock
1564,What genre is The Wall?,documentary film
1565,What genre is So?,art rock
1566,What genre is Téléphone?,rock music
1567,What genre is Bob?,sitcom
1568,What genre is Witness?,alternative rock
1569,What genre is Love Story?,romance novel
1570,What genre is Cool It?,television comedy
1571,What genre is Salvage?,horror film
1572,What genre is Something Near?,horror literature
1573,What genre is Slow?,nu jazz
1574,What genre is III?,country music
1575,What genre is Global?,trip hop
1576,What genre is Skin?,rock music
1577,What genre is Live in London?,country music
1578,What genre is Normal Life?,sitcom
1579,What genre is The Aleph?,short story
1580,What genre is Last Will?,mystery film
1581,What genre is Epic?,fantasy film
1582,What genre is Interval?,romance film
1583,What genre is Chris Jericho?,rock music
1584,What genre is The Little Prince?,novella
1585,What genre is The Wants?,indie rock
1586,What genre is The Fly?,horror film
1587,What genre is Martinez?,dansband
1588,What genre is Hinder?,hard rock
1589,What genre is The Devil's Chair?,horror film
1590,What genre is Transition?,jazz
1591,What genre is Chariot Race?,racing video game
1592,What genre is Fled?,action film
1593,What genre is Pearl Jam?,alternative rock
1594,What genre is United States?,comedy-drama
1595,What genre is Up All Night?,pop music
1596,What genre is In My Life?,soft rock
1597,What genre is The Rolling Stones?,rock music
1598,What genre is Progression?,trance
1599,What genre is In Your Eyes?,romance film
1600,What genre is In Hell?,action film
1601,What genre is Medicine?,alternative rock
1602,What genre is Annie?,comedy-drama
1603,What genre is Legend?,fantasy
1604,What genre is I Am?,documentary film
1605,What genre is Ef?,post-rock
1606,What genre is Happy Christmas?,comedy-drama
1607,What genre is The Take?,punk rock
1608,What genre is Ettore Panizza?,opera
1609,What genre is Johann Sebastian Bach?,Western classical music
1610,What genre is Atlanta Symphony Orchestra?,Western classical music
1611,What genre is Wired?,biographical film
1612,What genre is Living Space?,science fiction
1613,What genre is Light Years?,pop music
1614,What genre is Agboola Shadare?,smooth jazz
1615,What genre is Marathon?,first-person shooter
1616,What genre is Portia White?,opera
1617,What genre is Mystery Date?,teen film
1618,What genre is Empire?,crime film
1619,What genre is The Flat?,documentary film
1620,What genre is The Brain?,horror film
1621,What genre is Remodeled?,reality television
1622,What genre is Arrival?,pop music
1623,What genre is Big Bad Mouse?,farce
1624,What genre is Second Time Around?,sitcom
1625,What genre is The Myth?,martial arts film
1626,What genre is The Unlovables?,pop punk
1627,What genre is Kevin Fowler?,country music
1628,What genre is The Guess Who?,rock music
1629,What genre is Conversations?,contemporary Christian music
1630,What genre is Cherry?,comedy film
1631,What genre is Hindsight?,thriller
1632,What genre is The Chase?,film noir
1633,What genre is The Birds?,Old Comedy
1634,What genre is The Glory That Was?,science fiction
1635,What genre is The Guardian?,horror film
1636,What genre is Liquid?,techno
1637,What genre is Prom?,romance film
1638,What genre is These Days?,alternative rock
1639,What genre is Richard Barone?,rock music
1640,What genre is Overseas?,jazz
1641,What genre is Micro?,techno-thriller
1642,What genre is Never 7: The End of Infinity?,science fiction
1643,What genre is On the Inside?,thriller
1644,What genre is Everything?,J-pop
1645,What genre is Amarte Así?,telenovela
1646,What genre is First Love?,J-pop
1647,What genre is With a Little Help?,science fiction
1648,What genre is The Court?,legal drama
1649,What genre is Human Nature?,doo-wop
1650,What genre is S Club 7?,pop music
1651,What genre is Shelly West?,country music
1652,What genre is Kay?,pop music
1653,What genre is Whitney?,pop music
1654,What genre is Satanic Slaughter?,black metal
1655,What genre is David Cobb?,marine art
1656,What genre is Page?,synth-pop
1657,What genre is The Prince Who Was a Thief?,swashbuckler film
1658,What genre is The Holes?,comedy film
1659,What genre is Sometimes?,teen pop
1660,What genre is The Hare Census?,comedy film
1661,What genre is David Thomas Broughton?,traditional music
1662,What genre is Needle?,horror film
1663,What genre is Airport?,disaster film
1664,What genre is Fuel?,heavy metal
1665,What genre is The International?,political thriller
1666,What genre is Metal Heart?,heavy metal
1667,What genre is Xenogears?,role-playing video game
1668,What genre is Love in Magic?,romantic comedy
1669,What genre is Blake?,Western classical music
1670,What genre is Q?,television comedy
1671,What genre is André Watts?,Western classical music
1672,What genre is Live?,psychedelic rock
1673,What genre is Ayo?,hip hop music
1674,What genre is christ.?,electronic music
1675,What genre is Chocolate?,cumbia
1676,What genre is Mutants?,horror film
1677,What genre is The Perfect Man?,romantic comedy
1678,What genre is The Driver?,crime film
1679,What genre is Summer Sports: Paradise Island?,sports video game
1680,What genre is Mars?,science fiction film
1681,What genre is Gor?,science fiction
1682,What genre is Freedom Fighters?,third-person shooter
1683,What genre is Gimme the Power?,documentary film
1684,What genre is Play the Game?,rock music
1685,What genre is Another?,horror literature
1686,What genre is Joe Abercrombie?,fantasy
1687,What genre is Secrets?,post-hardcore
1688,What genre is Hang-On?,arcade game machine
1689,What genre is Spiral?,action film
1690,What genre is Return?,mystery film
1691,What genre is Slow Down?,rock music
1692,What genre is Dimensions?,jazz
1693,What genre is Morning?,seinen
1694,What genre is John K. Samson?,rock music
1695,What genre is Fuel?,hard rock
1696,What genre is Astro?,reggae
1697,What genre is Back to the Future?,science fiction film
1698,What genre is Gone?,pop rock
1699,What genre is Before You Go?,comedy film
1700,What genre is Them!?,science fiction film
1701,What genre is Tricky?,trip hop
1702,What genre is Motif?,jazz
1703,What genre is The Car?,horror film
1704,What genre is Eats Everything?,house music
1705,What genre is Hotel?,power pop
1706,What genre is Early B?,dancehall
1707,What genre is Tough?,blaxploitation
1708,What genre is Frifot?,traditional music
1709,What genre is Overseas?,indie rock
1710,What genre is The Angel?,horror film
1711,What genre is The Pest?,comedy film
1712,What genre is Weekend?,rhythm and blues
1713,What genre is One Thing?,pop rock
1714,What genre is Many Moons?,picture book
1715,What genre is Adore?,alternative rock
1716,What genre is Frogs?,platform game
1717,What genre is The Brides of Dracula?,horror film
1718,What genre is Monk?,comedy-drama
1719,What genre is Le Mans?,action film
1720,What genre is The Circle?,young adult literature
1721,What genre is The Band?,rock music
1722,What genre is GeneRally?,racing video game
1723,What genre is Living Lohan?,reality television
1724,What genre is The Help?,sitcom
1725,What genre is Raavan?,action film
1726,What genre is Bauer Media Group?,automobile magazine
1727,What genre is Valentine?,slasher film
1728,What genre is Danny Ray?,reggae
1729,What genre is My Girl?,romantic comedy
1730,What genre is Crusader Kings?,grand strategy wargame
1731,What genre is Crew?,funk rock
1732,What genre is Blow?,electropop
1733,What genre is Today We Choose Faces?,science fiction
1734,What genre is The Good Earth?,progressive rock
1735,What genre is Dragon?,martial arts film
1736,What genre is Rest?,progressive rock
1737,What genre is Cabinet?,archive file format
1738,What genre is Come Back to Me?,rhythm and blues
1739,What genre is New Jersey?,hard rock
1740,What genre is Real People?,reality television
1741,What genre is The Photographical Congress Arrives in Lyon?,documentary film
1742,What genre is 1920?,horror film
1743,What genre is Hamilton?,action film
1744,What genre is Battlefield?,first-person shooter
1745,What genre is Se Amar Mon Kereche?,action film
1746,What genre is Tempting Danger?,paranormal romance
1747,What genre is I Will Be There?,country music
1748,What genre is One Voice?,rhythm and blues
1749,What genre is Star Wars?,space opera
1750,What genre is Blessed?,horror film
1751,What genre is Regeneration?,crime film
1752,What genre is Amici miei – Atto III?,comedy film
1753,What genre is Legion?,horror literature
1754,What genre is Amen?,sitcom
1755,What genre is The Pill?,romantic comedy
1756,What genre is Until I Met You?,country music
1757,What genre is Counter-Strike?,tactical shooter
1758,What genre is In the Cut?,mystery film
1759,What genre is Prince?,funk
1760,What genre is Simón Bolívar?,biographical film
1761,What genre is I Against I?,punk rock
1762,What genre is The Opposition?,post-punk
1763,What genre is TEEN?,alternative rock
1764,What genre is The Rivals of Sherlock Holmes?,detective fiction
1765,What genre is Root?,black metal
1766,What genre is The Gamble?,comedy film
1767,What genre is Quick?,action film
1768,What genre is Rush?,progressive rock
1769,What genre is In the City?,mod revival
1770,What genre is The Penguins?,rhythm and blues
1771,What genre is The Club?,reality television
1772,What genre is Joey Newman?,film score
1773,What genre is The Sea?,documentary film
1774,What genre is Babylon?,progressive rock
1775,What genre is Crush?,thriller
1776,What genre is UK?,progressive rock
1777,What genre is Rose?,romance film
1778,What genre is Asa Higuchi?,seinen
1779,What genre is Help?,horror film
1780,What genre is Lady A?,country music
1781,What genre is The Paperboy?,horror film
1782,What genre is Teenage Dream?,pop music
1783,What genre is Quenta Silmarillion?,fantasy
1784,What genre is Shaft?,blaxploitation
1785,What genre is The Guru?,romantic comedy
1786,What genre is All About Us?,comedy-drama
1787,What genre is Carrie?,film adaptation
1788,What genre is Sons of the Pioneers?,country music
1789,What genre is Romance?,art film
1790,What genre is Tales?,role-playing video game
1791,What genre is Canaletto?,landscape art
1792,What genre is Férias Frustradas do Pica-Pau?,platform game
1793,What genre is The Rite?,horror film
1794,What genre is In Their Skin?,thriller
1795,What genre is Love Songs?,musical film
1796,What genre is The Good Guy?,romantic comedy
1797,What genre is Alone in the Dark?,horror film
1798,What genre is Kid Dracula?,platform game
1799,What genre is Death and All His Friends?,alternative rock
1800,What genre is Automatic 7?,punk rock
1801,What genre is XIII?,first-person shooter
1802,What genre is Metric?,indie rock
1803,What genre is Billy Joel?,rock music
1804,What genre is Toast: And Other Rusted Futures?,science fiction
1805,What genre is Mud?,coming-of-age story
1806,What genre is Ornatos Violeta?,alternative rock
1807,What genre is The Happenings?,pop music
1808,What genre is Joe Henderson?,jazz
1809,What genre is The Deal?,comedy film
1810,What genre is The Challenge?,reality television
1811,What genre is Paris?,sitcom
1812,What genre is Detour for Emmy?,young adult literature
1813,What genre is Window?,science fiction
1814,What genre is Uno?,alternative rock
1815,What genre is Alone with You?,country music
1816,What genre is Vogue?,J-pop
1817,What genre is Taxi?,pop music
1818,What genre is Brown Sugar?,romance film
1819,What genre is Prom?,comedy-drama
1820,What genre is Anymore?,country music
1821,What genre is Life?,nu metal
1822,What genre is Free The Army tour?,documentary film
1823,What genre is The Lady?,biographical film
1824,What genre is Holiday?,punk rock
1825,What genre is Drama?,mandopop
1826,What genre is Wise?,reggaeton
1827,What genre is Let It Be?,documentary film
1828,What genre is 58?,rock music
1829,What genre is Snow?,documentary film
1830,What genre is Monica Törnell?,traditional music
1831,What genre is Hal Clement?,science fiction
1832,What genre is Crush?,K-pop
1833,What genre is Get Shorty?,comedy film
1834,What genre is Farnham's Freehold?,science fiction
1835,What genre is Prestige?,jazz
1836,What genre is 10?,romantic comedy
1837,What genre is Amandititita?,cumbia
1838,What genre is Punishment?,soap opera
1839,What genre is Lisa Shaffer?,country music
1840,What genre is Homecoming?,hard rock
1841,What genre is Deep End?,short story
1842,What genre is Ola?,pop music
1843,What genre is Volcano?,disaster film
1844,What genre is Sarah Cracknell?,pop music
1845,What genre is Chambers?,sitcom
1846,What genre is Lost?,science fiction television series
1847,What genre is Oz?,heavy metal
1848,What genre is FM?,space rock
1849,What genre is Tank?,action film
1850,What genre is Inside Out?,adventure film
1851,What genre is The Cure?,comedy-drama
1852,What genre is Wake?,comedy-drama
1853,What genre is For Sale?,pop music
1854,What genre is Gone?,gothic metal
1855,What genre is The Dance?,house music
1856,What genre is Dave?,comedy film
1857,What genre is Creepmime?,death metal
1858,What genre is V?,pop music
1859,What genre is It Takes Two?,romantic comedy
1860,What genre is The Funeral?,comedy film
1861,What genre is Little Man?,documentary film
1862,What genre is Compass?,public art
1863,What genre is Private School?,teen film
1864,What genre is A Little More Love?,country music
1865,What genre is South by Java Head?,World War II
1866,What genre is Nine?,hardcore punk
1867,What genre is Epidemic?,horror film
1868,What genre is Masterpiece?,J-pop
1869,What genre is Res?,soul music
1870,What genre is Liberation?,black metal
1871,What genre is Gentleman?,Afrobeat
1872,What genre is Alt?,science fiction
1873,What genre is Hot Cop?,disco
1874,What genre is Johnny?,pop music
1875,What genre is No Doubt?,punk rock
1876,What genre is The Kingdom?,action film
1877,What genre is Servant?,Christian rock
1878,What genre is Waveform Audio File Format?,audio file format
1879,What genre is The Switch?,romantic comedy
1880,What genre is Love Story?,film adaptation
1881,What genre is The Wedding?,romance novel
1882,What genre is The Journey Down?,adventure game
1883,What genre is Face Off?,reality television
1884,What genre is Cube?,first-person shooter
1885,What genre is Touhou Project?,shoot 'em up
1886,What genre is Off the Black?,comedy-drama
1887,What genre is First Position?,documentary film
1888,What genre is Foreign Legion?,punk rock
1889,What genre is Idaho?,Western film
1890,What genre is Doctor Who?,science fiction television series
1891,What genre is Creatures?,platform game
1892,What genre is Frans Floris I?,Northern Renaissance
1893,What genre is The Four II?,wuxia
1894,What genre is I'll Do It All Over Again?,country music
1895,What genre is Nova?,electronic music
1896,What genre is In Public?,documentary film
1897,What genre is A Place to Live?,documentary film
1898,What genre is Dawn?,science fiction
1899,What genre is A Monster in Paris?,fantasy film
1900,What genre is Apollo?,rhythm and blues
1901,What genre is Ruth Berman Harris?,jazz
1902,What genre is The Box?,experimental music
1903,What genre is The Good Life?,sitcom
1904,What genre is The Association?,soft rock
1905,What genre is This Is Not?,industrial metal
1906,What genre is Time?,rock music
1907,What genre is Bones of the Earth?,science fiction
1908,What genre is Iron Man?,heavy metal
1909,What genre is Friends?,comedy-drama
1910,What genre is Chi's Sweet Home?,seinen
1911,What genre is Shin Megami Tensei if...?,role-playing video game
1912,What genre is Bloom?,science fiction
1913,What genre is October 1?,mystery film
1914,What genre is Glory?,war film
1915,What genre is In Deep?,short story
1916,What genre is Anahí?,pop music
1917,What genre is Dominatrix?,synth-pop
1918,What genre is Jimmy Wayne?,country music
1919,What genre is On the Run?,mandopop
1920,What genre is Howard University Jazz Ensemble?,jazz
1921,What genre is Mario Talavera?,popular music
1922,What genre is Your Computer?,computer magazine
1923,What genre is The Attack?,psychedelic rock
1924,What genre is Timeless Records?,jazz
1925,What genre is Phoenix?,manga
1926,What genre is Fantasy?,rock music
1927,What genre is Ordeal in Space?,short story
1928,What genre is Just a Matter of Time?,novella
1929,What genre is Shin?,rock music
1930,What genre is Sultan?,French hip hop
1931,What genre is I Want to Break Free?,rock music
1932,What genre is Paris Hilton?,pop music
1933,What genre is Equation?,folk rock
1934,What genre is Scream?,heavy metal
1935,What genre is Evil Dead: Hail to the King?,survival horror
1936,What genre is Andre?,comedy-drama
1937,What genre is Talk?,progressive rock
1938,What genre is Love Story?,anthology series
1939,What genre is Reminiscences?,documentary film
1940,What genre is A Moment in Time?,romance film
1941,What genre is Paradise?,comedy-drama
1942,What genre is The Arrangement?,reality television
1943,What genre is My Way?,Cantopop
1944,What genre is The Fashion?,indie rock
1945,What genre is Suicide?,essay
1946,What genre is Mary's Child?,fairy tale
1947,What genre is Hank Dogs?,traditional music
1948,What genre is Our Time?,J-pop
1949,What genre is The Profit?,reality television
1950,What genre is Cookie?,comedy film
1951,What genre is Visitors?,thriller
1952,What genre is Silhouette?,smooth jazz
1953,What genre is Sripada Pinakapani?,Carnatic music
1954,What genre is Infinite?,power metal
1955,What genre is Fahrenheit?,mandopop
1956,What genre is Elizabeth?,biographical film
1957,What genre is The House of God?,satire
1958,What genre is BOND?,synth-pop
1959,What genre is It's Pat?,comedy film
1960,What genre is Pressure?,reggae
1961,What genre is The Karate Kid?,action film
1962,What genre is Solo?,documentary film
1963,What genre is Children Without?,documentary film
1964,What genre is Egg?,progressive rock
1965,What genre is Annales Bertiniani?,annals
1966,What genre is For a Friend?,pop music
1967,What genre is I Know (You Don't Love Me No More)?,rhythm and blues
1968,What genre is Free Man?,biographical film
1969,What genre is Butter?,comedy film
1970,What genre is X Japan?,heavy metal
1971,What genre is City Slickers?,comedy film
1972,What genre is Axis Of?,alternative rock
1973,What genre is Living Things?,alternative rock
1974,What genre is Eight Days?,action game
1975,What genre is Classified?,pop music
1976,What genre is Surgery?,noise rock
1977,What genre is Canada?,traditional music
1978,What genre is Now I Know?,young adult literature
1979,What genre is Believer?,thrash metal
1980,What genre is High Risk?,heist film
1981,What genre is Homework?,house music
1982,What genre is Rude Kids?,punk rock
1983,What genre is El honorable Señor Valdez?,telenovela
1984,What genre is Evil?,horror film
1985,What genre is Patience?,operetta
1986,What genre is Piel?,telenovela
1987,What genre is Wolf?,heavy metal
1988,What genre is Walk Away?,pop rock
1989,What genre is Max Payne 3?,third-person shooter
1990,What genre is The Icicle Works?,alternative rock
1991,What genre is Tool?,progressive rock
1992,What genre is Reality?,rock music
1993,What genre is Gain?,K-pop
1994,What genre is Risen?,action role-playing game
1995,What genre is Thomas Morris?,jazz
1996,What genre is June?,jazz
1997,What genre is Collaboration West?,jazz
1998,What genre is My Friends?,comedy-drama
1999,What genre is Giants: Citizen Kabuto?,third-person shooter
2000,What genre is Thangigagi?,action film
2001,What genre is The Web?,film noir
2002,What genre is Colony House?,alternative rock
2003,What genre is Beyond the Wall of Sleep?,horror literature
2004,What genre is All Good Things?,romance film
2005,What genre is Epidemic?,thrash metal
2006,What genre is Pink Floyd – The Wall?,musical film
2007,What genre is Beyond the Law?,spaghetti western
2008,What genre is Second Generation?,romance film
2009,What genre is City of Pearl?,science fiction
2010,What genre is 7B?,Russian rock
2011,What genre is The Boondock Saints?,action film
2012,What genre is Mother Love Bone?,alternative rock
2013,What genre is Frederic Edwin Church?,landscape art
2014,What genre is Joe Mooney?,jazz
2015,What genre is The Wall?,progressive rock
2016,What genre is Infected?,science fiction
2017,What genre is The Morning After?,mystery film
2018,What genre is Stand Up?,progressive rock
2019,What genre is Mobile?,alternative rock
2020,What genre is Thin Ice?,documentary film
2021,What genre is Still Life?,progressive rock
2022,What genre is 8mm?,mystery film
2023,What genre is The Candidate?,documentary film
2024,What genre is Jay Bentley?,punk rock
2025,What genre is New Watch?,fantasy
2026,What genre is Man?,progressive rock
2027,What genre is Bobby Hackett?,jazz
2028,What genre is Whatever You Want?,rock music
2029,What genre is Seed?,horror film
2030,What genre is VS?,pop music
2031,What genre is Jenifer?,pop music
2032,What genre is Kanoon?,Bollywood
2033,What genre is Blossom?,sitcom
2034,What genre is Caprica?,science fiction
2035,What genre is Corruption?,interactive fiction
2036,What genre is Eve?,psychological thriller
2037,What genre is Third Day?,Christian rock
2038,What genre is The Promoter?,documentary film
2039,What genre is The Prize?,spy film
2040,"What genre is Baby, I'm Back?",sitcom
2041,What genre is The Experts?,comedy film
2042,What genre is Shine?,rock music
2043,What genre is Terra?,massively multiplayer online role-playing game
2044,What genre is Caught?,erotic thriller
2045,What genre is The Band?,country rock
2046,What genre is Mobile Home?,comedy-drama
2047,What genre is Soldier?,action film
2048,What genre is Gåten Ragnarok?,adventure film
2049,What genre is Criminal?,thrash metal
2050,What genre is Modern Talking?,synth-pop
2051,What genre is Coral Records?,jazz
2052,What genre is Password?,panel game
2053,What genre is Big Business?,comedy film
2054,What genre is Foxy Brown?,reggae
2055,What genre is Zones?,young adult literature
2056,What genre is Options?,science fiction
2057,What genre is Dangerous?,pop music
2058,What genre is The Gift?,country music
2059,What genre is Pulse?,science fiction film
2060,What genre is Castle Freak?,horror film
2061,What genre is Association for Public Art?,public art
2062,What genre is Bullet to the Head?,action film
2063,What genre is Disturbed?,horror film
2064,What genre is Eating?,comedy-drama
2065,What genre is Tuesday?,picture book
2066,What genre is The Dive?,action film
2067,What genre is White House?,horror film
2068,What genre is Kiss?,pop music
2069,What genre is Shaft?,action film
2070,What genre is Ripped Off?,crime film
2071,What genre is Motor?,automobile magazine
2072,What genre is Red Velvet?,K-pop
2073,What genre is Slam Stewart?,jazz
2074,What genre is Alive?,pop music
2075,What genre is League of Legends?,multiplayer online battle arena
2076,What genre is The Shout?,horror film
2077,What genre is Tug?,romantic comedy
2078,What genre is Pinch?,dubstep
2079,What genre is Inside Out?,heist film
2080,What genre is Alter Ego?,role-playing video game
2081,What genre is Gene?,thriller
2082,What genre is The Test?,short story
2083,What genre is The Institute?,documentary film
2084,What genre is Evil?,alternative rock
2085,What genre is Bone Eater?,monster film
2086,What genre is World of Men?,pornographic film
2087,What genre is You Are Free?,documentary film
2088,What genre is No Direction Home?,documentary film
2089,What genre is Animal?,hard rock
2090,What genre is Jan Miense Molenaer?,genre painting
2091,What genre is Ultima Online: Samurai Empire?,massively multiplayer online role-playing game
2092,What genre is Dhruva?,action film
2093,What genre is Wars?,turn-based strategy video game
2094,What genre is London?,punk rock
2095,What genre is Love?,J-pop
2096,What genre is The Deep?,adventure film
2097,What genre is The Sanctuary Sparrow?,mystery fiction
2098,What genre is Ross the Boss?,heavy metal
2099,What genre is Value for Money?,comedy film
2100,What genre is They Live?,science fiction film
2101,What genre is Evil?,horror film
2102,What genre is Ring?,psychedelic rock
2103,What genre is Severity?,first-person shooter
2104,What genre is Puzzle Series?,puzzle video game
2105,What genre is Droid?,science fiction film
2106,What genre is Unity?,jazz
2107,What genre is Fever?,thriller
2108,What genre is Omen?,futurepop
2109,What genre is AD?,Christian rock
2110,"What genre is William Keepers Maxwell, Jr.?",short story
2111,What genre is 2?,pop punk
2112,What genre is Numb?,alternative rock
2113,What genre is Bro?,science fiction
2114,What genre is The LeeVees?,rock music
2115,What genre is The Missing?,thriller
2116,What genre is Songs for Distingué Lovers?,jazz
2117,What genre is Pieter Jacobsz Duyfhuysen?,genre painting
2118,What genre is As Time Goes By?,documentary film
2119,What genre is Low Life?,non-fiction
2120,What genre is Go On?,sitcom
2121,What genre is Liberty?,comedy film
2122,What genre is No Doubt?,pop rock
2123,What genre is Storm Master?,turn-based strategy video game
2124,What genre is Chip?,rap
2125,What genre is The One?,science fiction film
2126,What genre is Serving You?,Cantopop
2127,What genre is Lebanon?,pornographic film
2128,What genre is Bis?,indie pop
2129,What genre is Criteria?,indie rock
2130,What genre is The Expert?,mandopop
2131,What genre is Risk?,short story
2132,What genre is Shark Monroe?,adventure film
2133,What genre is Territory Cops?,factual television
2134,What genre is CSI?,police procedural
2135,What genre is My Family?,sitcom
2136,What genre is The Visitors?,pop music
2137,What genre is The New Spirit?,propaganda film
2138,What genre is Immortal?,science fiction film
2139,What genre is Jason Moran?,jazz
2140,What genre is The Unknown?,mystery film
2141,What genre is Neighbours?,synth-pop
2142,What genre is The Neighbors?,sitcom
2143,What genre is The Soul Survivors?,rhythm and blues
2144,What genre is Speed?,action film
2145,What genre is The Others?,psychological horror
2146,What genre is Jacob Maris?,landscape art
2147,What genre is Suits?,legal drama
2148,What genre is The Storm?,disaster film
2149,What genre is Fablehaven?,fantasy literature
2150,What genre is Sacrifice?,thrash metal
2151,What genre is Fish?,neo-progressive rock
2152,What genre is San Francisco?,documentary film
2153,What genre is Draw the Line?,hard rock
2154,What genre is Madman at War?,comedy film
2155,What genre is Portal?,first-person shooter
2156,What genre is Woo?,romantic comedy
2157,What genre is Break Free?,comedy-drama
2158,What genre is About Us?,dance-pop
2159,What genre is Minnesota?,Eurodance
2160,What genre is Half Bad?,young adult literature
2161,What genre is On the Lot?,reality television
2162,What genre is Will Smith?,hip hop music
2163,What genre is 10 Years?,romantic comedy
2164,What genre is Banjo-Kazooie?,platform game
2165,What genre is Zipper?,political thriller
2166,What genre is Zeni Geva?,progressive rock
2167,What genre is In Silence?,rock music
2168,What genre is U Brown?,reggae
2169,What genre is King Crimson?,progressive rock
2170,What genre is Lux?,ambient music
2171,What genre is Made in Chelsea?,reality television
2172,What genre is The Art of the Steal?,comedy film
2173,What genre is A Winter of Cyclists?,documentary film
2174,What genre is Disney's The Kid?,fantasy film
2175,What genre is Circus?,dance-pop
2176,What genre is REO Speedwagon?,rock music
2177,What genre is Soul of the Samurai?,action-adventure game
2178,What genre is Heart?,rock music
2179,What genre is John Jackson?,portrait
2180,What genre is Hunter?,action-adventure game
2181,What genre is Say It Again?,country music
2182,What genre is Fugees?,reggae
2183,What genre is The Children?,comedy film
2184,What genre is Episode?,power metal
2185,What genre is The Magician's Apprentice?,fantasy
2186,What genre is I Am I?,heavy metal
2187,What genre is James?,psychedelic rock
2188,What genre is Motherland?,documentary film
2189,What genre is Maximiano de Sousa?,fado
2190,What genre is Empty Hands?,romance film
2191,What genre is Borgore?,dubstep
2192,What genre is Back to Back?,country music
2193,What genre is A Hero of Our Times?,comedy film
2194,What genre is Mother?,comedy-drama
2195,What genre is Be Yourself!?,musical film
2196,What genre is Stretch?,thriller
2197,What genre is Alizée?,pop music
2198,What genre is Studio?,electronic music
2199,What genre is Impact?,science fiction
